Node 1 min	Node 1 max	Node 1 avg	Node 1 minrate	Node 1 maxrate	Node 2 min	Node 2 max	Node 2 avg	Node 2 minrate	Node 2 maxrate	Node 3 min	Node 3 max	Node 3 avg	Node 3 minrate	Node 3 maxrate
62.0	62.0	62.0	0.0	0.0	62.0	62.0	62.0	0.0	0.0	62.0	62.0	62.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13209.0	13209.0	13209.0	0.0	0.0	13209.0	13209.0	13209.0	0.0	0.0	13209.0	13209.0	13209.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
203009.0	203009.0	203009.0	0.0	0.0	203009.0	203009.0	203009.0	0.0	0.0	203009.0	203009.0	203009.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
196096.0	196096.0	196096.0	0.0	0.0	196096.0	196096.0	196096.0	0.0	0.0	196096.0	196096.0	196096.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64.0	70.0	67.97297297297297	-6.0	4.0	64.0	70.0	67.97297297297297	-4.0	4.0	62.0	70.0	67.91891891891892	-6.0	8.0
-6.0	4.0	-0.013513513513513514	-8.0	8.0	-4.0	4.0	0.013513513513513514	-6.0	8.0	-6.0	8.0	0.0	-11.0	14.0
45.0	47.0	45.027027027027025	-2.0	2.0	45.0	45.0	45.0	0.0	0.0	45.0	45.0	45.0	0.0	0.0
-2.0	2.0	0.0	-4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1600621519.0	1601259856.0	1600940414.5135136	8650.0	9441.0	1601268555.0	1601907510.0	1601588265.6891892	8648.0	9546.0	1601916175.0	1602554028.0	1602235458.3108108	8622.0	9427.0
8650.0	9441.0	8744.18918918919	-777.0	754.0	8648.0	9546.0	8752.081081081082	-820.0	791.0	8622.0	9427.0	8736.72972972973	-736.0	720.0
521058944.0	521058944.0	521058944.0	0.0	0.0	521058944.0	521058944.0	521058944.0	0.0	0.0	521058944.0	521058944.0	521058944.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
														
														
